,Unnamed: 0,id,name,location,sampling_rate,lfp_sampling_rate,has_lfp_data,session,inserted
346,346,597,probeA,See electrode locations,30000.12080882693,,False,1187475832,True
347,347,602,probeB,See electrode locations,29999.94245227229,,False,1187475832,True
348,348,599,probeC,See electrode locations,30000.215038055903,,False,1187475832,True
349,349,598,probeD,See electrode locations,30000.1045795397,,False,1187475832,True
350,350,601,probeE,See electrode locations,30000.0699681006,,False,1187475832,True
351,351,600,probeF,See electrode locations,30000.11981519711,,False,1187475832,True
352,352,436,probeA,See electrode locations,30000.108336337027,,False,1226528572,True
353,353,437,probeB,See electrode locations,29999.929831288,,False,1226528572,True
354,354,438,probeC,See electrode locations,30000.22582511476,,False,1226528572,True
355,355,439,probeD,See electrode locations,30000.089836722866,,False,1226528572,True
356,356,440,probeE,See electrode locations,30000.05770581404,,False,1226528572,True
357,357,441,probeF,See electrode locations,30000.103954849463,,False,1226528572,True
358,358,246,probeA,See electrode locations,30000.105620548828,,False,1198796984,True
359,359,244,probeB,See electrode locations,29999.93065739448,,False,1198796984,True
360,360,245,probeC,See electrode locations,30000.19334312209,,False,1198796984,True
361,361,243,probeD,See electrode locations,30000.08489488592,,False,1198796984,True
362,362,242,probeE,See electrode locations,30000.054208051683,,False,1198796984,True
363,363,241,probeF,See electrode locations,30000.10417457235,,False,1198796984,True
364,364,134,probeA,See electrode locations,30000.120975966533,,False,1181096406,True
365,365,135,probeB,See electrode locations,29999.94327957764,,False,1181096406,True
367,367,137,probeD,See electrode locations,30000.10010947538,,False,1181096406,True
368,368,138,probeE,See electrode locations,30000.063841526484,,False,1181096406,True
369,369,139,probeF,See electrode locations,30000.11733261093,,False,1181096406,True
370,370,221,probeA,See electrode locations,30000.098455055508,,False,1198130743,True
371,371,220,probeB,See electrode locations,29999.923030768383,,False,1198130743,True
372,372,218,probeC,See electrode locations,30000.186572898165,,False,1198130743,True
373,373,219,probeD,See electrode locations,30000.07768326203,,False,1198130743,True
374,374,217,probeE,See electrode locations,30000.04685013108,,False,1198130743,True
375,375,222,probeF,See electrode locations,30000.097481377685,,False,1198130743,True
376,376,550,probeA,See electrode locations,30000.10959931209,,False,1233182785,True
377,377,551,probeB,See electrode locations,29999.931327430422,,False,1233182785,True
378,378,552,probeC,See electrode locations,30000.232840871704,,False,1233182785,True
379,379,553,probeD,See electrode locations,30000.09378221353,,False,1233182785,True
381,381,555,probeF,See electrode locations,30000.10696312901,,False,1233182785,True
382,382,321,probeA,See electrode locations,30000.10208856568,,False,1203574877,True
383,383,323,probeB,See electrode locations,29999.92748213376,,False,1203574877,True
384,384,322,probeC,See electrode locations,30000.189787535102,,False,1203574877,True
385,385,319,probeD,See electrode locations,30000.08055957679,,False,1203574877,True
386,386,320,probeE,See electrode locations,30000.051907025405,,False,1203574877,True
387,387,324,probeF,See electrode locations,30000.101455360127,,False,1203574877,True
388,388,556,probeA,See electrode locations,30000.119684495927,,False,1243523806,True
389,389,557,probeB,See electrode locations,29999.942805203904,,False,1243523806,True
390,390,558,probeC,See electrode locations,30000.240336172425,,False,1243523806,True
392,392,560,probeE,See electrode locations,30000.068374747643,,False,1243523806,True
393,393,561,probeF,See electrode locations,30000.11607805995,,False,1243523806,True
394,394,454,probeA,See electrode locations,30000.105772558327,,False,1227855488,True
395,395,455,probeB,See electrode locations,29999.92758049201,,False,1227855488,True
396,396,456,probeC,See electrode locations,30000.22600252128,,False,1227855488,True
397,397,457,probeD,See electrode locations,30000.087555897266,,False,1227855488,True
398,398,458,probeE,See electrode locations,30000.05377227132,,False,1227855488,True
399,399,459,probeF,See electrode locations,30000.09997634799,,False,1227855488,True
400,400,175,probeA,See electrode locations,30000.1274117627,,False,1190892228,True
401,401,176,probeB,See electrode locations,29999.95012356672,,False,1190892228,True
403,403,178,probeD,See electrode locations,30000.111749690743,,False,1190892228,True
404,404,179,probeE,See electrode locations,30000.075581607045,,False,1190892228,True
405,405,180,probeF,See electrode locations,30000.12579711611,,False,1190892228,True
407,407,117,probeB,See electrode locations,29999.94549280493,,False,1179911454,True
408,408,118,probeC,See electrode locations,30000.216724000013,,False,1179911454,True
409,409,119,probeD,See electrode locations,30000.102881922947,,False,1179911454,True
410,410,120,probeE,See electrode locations,30000.06814214872,,False,1179911454,True
411,411,121,probeF,See electrode locations,30000.118376188453,,False,1179911454,True
412,412,325,probeA,See electrode locations,30000.11514164029,,False,1204636084,True
413,413,326,probeB,See electrode locations,29999.93914334003,,False,1204636084,True
414,414,327,probeC,See electrode locations,30000.20475545373,,False,1204636084,True
415,415,328,probeD,See electrode locations,30000.09528128164,,False,1204636084,True
416,416,329,probeE,See electrode locations,30000.0649256115,,False,1204636084,True
417,417,330,probeF,See electrode locations,30000.11481870763,,False,1204636084,True
418,418,412,probeA,See electrode locations,30000.113665737543,,False,1224928532,True
419,419,413,probeB,See electrode locations,29999.93875754319,,False,1224928532,True
421,421,415,probeD,See electrode locations,30000.09399471287,,False,1224928532,True
422,422,416,probeE,See electrode locations,30000.06219322299,,False,1224928532,True
423,423,417,probeF,See electrode locations,30000.11186256028,,False,1224928532,True
424,424,313,probeA,See electrode locations,30000.106841614856,,False,1202644967,True
425,425,314,probeB,See electrode locations,29999.932039093103,,False,1202644967,True
426,426,315,probeC,See electrode locations,30000.19568885248,,False,1202644967,True
427,427,316,probeD,See electrode locations,30000.08611594821,,False,1202644967,True
428,428,317,probeE,See electrode locations,30000.055268444376,,False,1202644967,True
429,429,318,probeF,See electrode locations,30000.10571696628,,False,1202644967,True
430,430,89,probeA,See electrode locations,30000.12864139548,,False,1189336645,True
